movieId,movieTitle,movieYear,movieURL,movieRank,critic_score,audience_score,average
9ac889c9-a513-3596-a647-ab4f4554112f,E.T. the Extra-Terrestrial,1982,https://www.rottentomatoes.com/m/et_the_extraterrestrial,118,99%,72%,0.855
67b14b91-c121-347f-8bcf-d081041bb3ff,Little Shop of Horrors,1986,https://www.rottentomatoes.com/m/1012515-little_shop_of_horrors,15,91%,79%,0.85
4a92cd40-ab69-3bd1-934c-fcf7238f5529,Them!,1954,https://www.rottentomatoes.com/m/1021186-them,90,93%,77%,0.85
f884538a-c112-318b-a5dc-e012bb453619,Gattaca,1997,https://www.rottentomatoes.com/m/gattaca,125,82%,87%,0.845
9dede4bd-3103-3b0d-87ae-057c43be75ce,Coherence,2013,https://www.rottentomatoes.com/m/coherence_2013,7,88%,81%,0.845
d7cd093a-8594-3433-9324-6438813dd46d,Minority Report,2002,https://www.rottentomatoes.com/m/minority_report,88,89%,80%,0.845
6f6203d7-9e36-3034-ad41-3dd3e82fbfec,Timecrimes,2007,https://www.rottentomatoes.com/m/time_crimes,3,90%,79%,0.845
dc73bac4-9e07-330a-93fc-0f3179143279,Galaxy Quest,1999,https://www.rottentomatoes.com/m/galaxy_quest,101,90%,79%,0.845
302b553c-c722-3aae-be8e-de1ea5efb0e1,Metropolis,2001,https://www.rottentomatoes.com/m/metropolis_2002,22,87%,81%,0.84
2f580601-45cd-341d-bae9-60c5f5b85c39,Turbo Kid,2015,https://www.rottentomatoes.com/m/turbo_kid,44,91%,77%,0.84
c8afce97-a899-3ba6-a919-a3a1e2608fba,The Matrix,1999,https://www.rottentomatoes.com/m/matrix,144,83%,85%,0.84
376dbb65-2405-330c-b9bc-3b1229d6821e,Predator,1987,https://www.rottentomatoes.com/m/predator,94,80%,87%,0.835
edf2b4af-2633-3fa9-a7ee-aaabbe612465,Donnie Darko,2001,https://www.rottentomatoes.com/m/donnie_darko,71,87%,80%,0.835
e42e6c21-0288-38a2-b6f1-efb0f7d71fe0,Seconds,1966,https://www.rottentomatoes.com/m/seconds,83,79%,87%,0.83
4e7ec88e-c9ee-3321-ace3-6695e19a552e,They Live,1988,https://www.rottentomatoes.com/m/they_live,82,86%,80%,0.83
ceec7b71-3064-3ccb-a7f5-4dd5e2d8ff2d,Attack the Block,2011,https://www.rottentomatoes.com/m/attack_the_block,46,91%,75%,0.83
d7beb34f-b80a-344e-8c87-56507572b572,Snowpiercer,2013,https://www.rottentomatoes.com/m/snowpiercer,92,94%,72%,0.83
0199c2ac-1023-367e-8f58-ff256dc090fc,The Rocky Horror Picture Show,1975,https://www.rottentomatoes.com/m/rocky_horror_picture_show,8,80%,85%,0.825
0bd9abe5-cfc5-3097-b95c-f53e046310c2,The Hunger Games,2012,https://www.rottentomatoes.com/m/the_hunger_games,86,84%,81%,0.825
1e0727c2-f728-3226-9eb0-a3b3d5993d9a,Escape From New York,1981,https://www.rottentomatoes.com/m/1006717-escape_from_new_york,98,88%,77%,0.825
94035c4d-a59d-4e0d-99c0-029a2a9a6048,Bumblebee,2018,https://www.rottentomatoes.com/m/bumblebee,68,90%,75%,0.825
abbc4ee1-b67f-35f7-9a45-1250bf179849,"20,000 Leagues Under the Sea",1954,https://www.rottentomatoes.com/m/1000079-20000_leagues_under_the_sea,85,91%,74%,0.825
46975e88-8051-3a36-b3f9-90894f5ce31a,The Host,2006,https://www.rottentomatoes.com/m/the_host_2007,51,93%,72%,0.825
b4b1577f-aeee-3082-aa2e-030f75e95cf9,The Brother From Another Planet,1984,https://www.rottentomatoes.com/m/the_brother_from_another_planet,59,89%,75%,0.82
f7970b0e-0f4c-391b-a841-1bf29e368b3e,Avatar,2009,https://www.rottentomatoes.com/m/avatar,87,81%,82%,0.815
08df7064-dc6e-3cd2-aa05-951188664d27,Videodrome,1983,https://www.rottentomatoes.com/m/videodrome,91,83%,80%,0.815
5c6d8611-f267-3afa-8b7b-07dabee95a7c,Liquid Sky,1982,https://www.rottentomatoes.com/m/liquid_sky,39,93%,70%,0.815
d014530b-da26-35d2-b548-7fe1292ed137,Shin Godzilla,2016,https://www.rottentomatoes.com/m/godzilla_resurgence,23,86%,76%,0.81
8f7aeaf8-7ae8-3e20-b7c7-6853ba48c20a,Dark City,1998,https://www.rottentomatoes.com/m/dark_city,61,76%,85%,0.805
9f56655f-d39f-3dfd-b36b-326706fcb3f6,Total Recall,1990,https://www.rottentomatoes.com/m/total_recall,107,82%,79%,0.805
a5c0a657-f6f7-3023-a2be-32706736d238,The World's End,2013,https://www.rottentomatoes.com/m/the_worlds_end,49,89%,72%,0.805
5fe99875-bc69-3377-916e-68c8ccc10535,Predestination,2014,https://www.rottentomatoes.com/m/predestination,81,85%,75%,0.8
10ea402a-60ba-3192-a5b3-3ca28fcf673f,The War of the Worlds,1953,https://www.rottentomatoes.com/m/the_war_of_the_worlds,99,89%,71%,0.8
ae172e49-aa7b-3c17-81ae-4ccbe3876ef9,The Endless,2017,https://www.rottentomatoes.com/m/the_endless,2,92%,68%,0.8
6239a3da-e4c9-34c4-aee3-8ee23d7f4c77,Fantastic Voyage,1966,https://www.rottentomatoes.com/m/fantastic_voyage,102,92%,68%,0.8
ba9320dd-78db-3d61-b5f1-e7da1f1758cf,Interstellar,2014,https://www.rottentomatoes.com/m/interstellar_2014,111,73%,86%,0.795
d295559c-7713-3592-a64a-7c430106c8ea,Rise of the Planet of the Apes,2011,https://www.rottentomatoes.com/m/rise_of_the_planet_of_the_apes,79,82%,77%,0.795
2391e6ce-eba4-31c3-907f-ab9a235038fd,Flight of the Navigator,1986,https://www.rottentomatoes.com/m/flight_of_the_navigator,14,84%,75%,0.795
07960248-ca20-3774-a741-06938f94de10,THX-1138,1971,https://www.rottentomatoes.com/m/thx_1138,45,86%,73%,0.795
eadd89a2-4a55-36e2-a395-292d0e3472b7,The Fifth Element,1997,https://www.rottentomatoes.com/m/fifth_element,56,71%,86%,0.785
cd1b128b-4567-3926-99b1-10ee90c1419d,Altered States,1980,https://www.rottentomatoes.com/m/altered_states,80,86%,71%,0.785
20d223b9-99ae-3d57-9f8a-b363555baef4,Annihilation,2018,https://www.rottentomatoes.com/m/annihilation,11,88%,67%,0.775
7d6c0601-f2e5-3eee-9e42-de20413478bc,Westworld,1973,https://www.rottentomatoes.com/m/westworld,5,84%,70%,0.77
5e482be5-f7e7-3615-991c-2d6141437cf9,Alita: Battle Angel,2019,https://www.rottentomatoes.com/m/alita_battle_angel,16,62%,91%,0.765
fc111df0-7250-3998-aa75-c9f16e9f5031,Fahrenheit 451,1966,https://www.rottentomatoes.com/m/1007003-fahrenheit_451,74,81%,72%,0.765
e950482a-9580-3bfc-a578-fbc70e8c50a3,Primer,2004,https://www.rottentomatoes.com/m/primer,123,73%,79%,0.76
afc309b1-7264-31b5-ab5d-cd09cfbe5b3c,Dredd,2012,https://www.rottentomatoes.com/m/dredd,58,80%,72%,0.76
675e8174-79ef-398c-a5a4-cf1e2c7e57a4,Sunshine,2007,https://www.rottentomatoes.com/m/sunshine,38,77%,73%,0.75
cf4a5712-95b5-312e-8d28-75086904717f,Midnight Special,2016,https://www.rottentomatoes.com/m/midnight_special_2015,9,83%,67%,0.75
b0b0ce92-7fd8-3d7d-b370-7e4e0c277c80,Ready Player One,2018,https://www.rottentomatoes.com/m/ready_player_one,17,72%,77%,0.745
41528d53-43db-346c-ba0c-3a8727fc5d67,Pacific Rim,2013,https://www.rottentomatoes.com/m/pacific_rim_2013,72,72%,77%,0.745
3c4ada35-0d2c-3e46-944f-fd210cd632d7,The Man Who Fell to Earth,1976,https://www.rottentomatoes.com/m/man_who_fell_to_earth,63,79%,69%,0.74
458b3c59-947e-31a0-b48f-b2312a3c29dc,Contact,1997,https://www.rottentomatoes.com/m/1078021-contact,12,68%,78%,0.73
3be049d6-379b-32f6-8e62-f1336b266b54,Cloverfield,2008,https://www.rottentomatoes.com/m/cloverfield,65,78%,68%,0.73
cde14019-99ea-3ecd-ac04-1e2c5e2d439c,Star Trek III: The Search for Spock,1984,https://www.rottentomatoes.com/m/star_trek_iii_the_search_for_spock,24,79%,67%,0.73
5d988d64-acc8-30f2-9f8b-4829f3711f99,Things to Come,1936,https://www.rottentomatoes.com/m/things_to_come,30,91%,55%,0.73
bd69d15a-84fb-3995-855e-badd97bc4140,When Worlds Collide,1951,https://www.rottentomatoes.com/m/when_worlds_collide,37,81%,63%,0.72
c587a608-87b5-31c6-b971-52811b00f818,Independence Day,1996,https://www.rottentomatoes.com/m/1071806-independence_day,69,68%,75%,0.715
fcddc695-5603-3913-8be5-716a5a50a6be,A Scanner Darkly,2006,https://www.rottentomatoes.com/m/scanner_darkly,76,68%,74%,0.71
3527092b-cde9-3021-af74-05defb7a13ce,Starship Troopers,1997,https://www.rottentomatoes.com/m/starship_troopers,55,72%,70%,0.71
3b65974d-101e-33ac-b36f-85b35b6d67a4,Tron,1982,https://www.rottentomatoes.com/m/tron,67,73%,69%,0.71
a052eb54-52ba-3cf3-a189-22c3d661b664,Strange Days,1995,https://www.rottentomatoes.com/m/strange_days,32,68%,73%,0.705
0e5b8ffc-754d-3e22-a57e-9f58e030c4d2,A Boy and His Dog,1975,https://www.rottentomatoes.com/m/boy_and_his_dog,34,78%,63%,0.705
5afa1bae-10fc-3917-9aa6-89e67d09b54b,Soylent Green,1973,https://www.rottentomatoes.com/m/soylent_green,84,71%,70%,0.705
3b9d8d02-d9cf-3647-ade4-9fcb1ff47bc6,A.I.: Artificial Intelligence,2001,https://www.rottentomatoes.com/m/ai_artificial_intelligence,35,76%,64%,0.7
7088cc9e-848f-3a77-9cb3-c33abf244a19,Cube,1997,https://www.rottentomatoes.com/m/cube,31,63%,76%,0.695
61ae22fe-7ddc-3c05-982e-0816a9828227,Dark Star,1974,https://www.rottentomatoes.com/m/dark_star,40,74%,65%,0.695
d8376552-6e8d-31f0-b945-153de9e8c80c,Under the Skin,2013,https://www.rottentomatoes.com/m/under_the_skin_2013,62,84%,55%,0.695
9f2e3965-170c-32ae-a9a0-fa940515ec13,Silent Running,1972,https://www.rottentomatoes.com/m/silent_running,20,71%,66%,0.685
d95e6b1a-4e03-3330-a4c5-3eace9ba192f,The Adventures of Buckaroo Banzai Across the Eighth Dimension,1984,https://www.rottentomatoes.com/m/the_adventures_of_buckaroo_banzai,60,66%,69%,0.675
b662263e-27a9-39e6-b29a-6c63e43ad128,Heavy Metal,1981,https://www.rottentomatoes.com/m/1068461-heavy_metal,33,66%,67%,0.665
77dd9cbe-d992-35ec-9c6d-7bc24309e8ed,Scanners,1981,https://www.rottentomatoes.com/m/1018315-scanners,29,68%,64%,0.66
3c8692f3-d247-3ed2-aab5-f86dddd16cc0,Wizards,1977,https://www.rottentomatoes.com/m/wizards,10,62%,69%,0.655
db61b900-197f-32d8-904b-3b923bb7164c,Idiocracy,2006,https://www.rottentomatoes.com/m/idiocracy,73,71%,60%,0.655
417edd26-85f4-3e60-83b7-afff172b8367,Barbarella,1968,https://www.rottentomatoes.com/m/barbarella,70,75%,56%,0.655
21f46274-4ba5-3304-a41b-67aaed8270a7,Demolition Man,1993,https://www.rottentomatoes.com/m/demolition_man,75,63%,67%,0.65
e9425ffb-3c3e-365e-a700-edcc5db6446c,Rollerball,1975,https://www.rottentomatoes.com/m/rollerball,19,67%,62%,0.645
3855d3b7-7b90-3a81-aba5-e9014dc21cd5,The Day of the Triffids,1963,https://www.rottentomatoes.com/m/the_day_of_the_triffids_1963,36,78%,51%,0.645
7f317828-36bc-3eb0-99ee-7ef65d07bad0,The Fountain,2006,https://www.rottentomatoes.com/m/the_fountain,26,53%,74%,0.635
db8cbc0e-7a29-3e4b-983f-8acacb08f4e4,Logan's Run,1976,https://www.rottentomatoes.com/m/logans_run,27,58%,67%,0.625
85f2ae11-607a-3bcd-a8c0-9638eb43b224,The Hitchhiker's Guide to the Galaxy,2005,https://www.rottentomatoes.com/m/hitchhikers_guide_to_the_galaxy,1,60%,65%,0.625
edd50112-6bf5-31a3-bb19-fe883edc01c4,The Congress,2013,https://www.rottentomatoes.com/m/the_congress,13,72%,53%,0.625
c56fc92f-0d1c-4ffb-9a49-5d9e8e216870,High Life,2018,https://www.rottentomatoes.com/m/high_life_2019,6,82%,42%,0.62
d3d17414-4472-3e59-a5a6-8c2163740106,Ad Astra,2019,https://www.rottentomatoes.com/m/ad_astra,4,83%,40%,0.615
c1385ecf-5093-3a41-b504-573cede62813,The Blob,1958,https://www.rottentomatoes.com/m/the_blob,28,68%,52%,0.6
15b384f3-7702-385e-8712-91245fd95dcd,War of the Worlds,2005,https://www.rottentomatoes.com/m/war_of_the_worlds,21,76%,42%,0.59
725fe70b-95da-3e4a-bb76-b094b4b71ce1,Plan 9 From Outer Space,1959,https://www.rottentomatoes.com/m/plan-9-from-outer-space,18,66%,45%,0.555
