,Longitude,Latitude,Company Name,Location,Detail,Status Rocket, Rocket,Status Mission,Year,Rocket
116,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-35,StatusRetired,450,Success,1990,450
117,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-38,StatusRetired,450,Success,1990,450
118,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-41,StatusRetired,450,Success,1990,450
119,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-31,StatusRetired,450,Success,1990,450
120,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-36,StatusRetired,450,Success,1990,450
121,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-32,StatusRetired,450,Success,1990,450
122,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-33R,StatusRetired,450,Success,1989,450
123,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-34R,StatusRetired,450,Success,1989,450
124,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-28R,StatusRetired,450,Success,1989,450
125,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-30R,StatusRetired,450,Success,1989,450
126,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-29R,StatusRetired,450,Success,1989,450
127,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-27R,StatusRetired,450,Success,1988,450
128,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-26R,StatusRetired,450,Success,1988,450
129,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Challenger | STS-51-L,StatusRetired,450,Failure,1986,450
130,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-61-C,StatusRetired,450,Success,1986,450
131,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-61-B,StatusRetired,450,Success,1985,450
132,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Challenger | STS-61-A,StatusRetired,450,Success,1985,450
133,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-51-J,StatusRetired,450,Success,1985,450
134,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-51-I,StatusRetired,450,Success,1985,450
135,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Challenger | STS-51-F,StatusRetired,450,Success,1985,450
136,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-51-G,StatusRetired,450,Success,1985,450
137,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Challenger | STS-51-B,StatusRetired,450,Success,1985,450
138,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-51-D,StatusRetired,450,Success,1985,450
139,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-51-C,StatusRetired,450,Success,1985,450
140,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-51-A,StatusRetired,450,Success,1984,450
141,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Challenger | STS-41-G,StatusRetired,450,Success,1984,450
142,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Discovery | STS-41-D,StatusRetired,450,Success,1984,450
143,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Challenger | STS-41-C,StatusRetired,450,Success,1984,450
144,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Challenger | STS-41-B,StatusRetired,450,Success,1984,450
145,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-9,StatusRetired,450,Success,1983,450
146,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Challenger | STS-8,StatusRetired,450,Success,1983,450
147,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Challenger | STS-7,StatusRetired,450,Success,1983,450
148,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Challenger | STS-6,StatusRetired,450,Success,1983,450
149,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-5,StatusRetired,450,Success,1982,450
150,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-4,StatusRetired,450,Success,1982,450
151,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-3,StatusRetired,450,Success,1982,450
152,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-2,StatusRetired,450,Success,1981,450
153,-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Columbia | STS-1,StatusRetired,450,Success,1981,450
158,-80.6508,28.5721,NASA,Kennedy Space Center,Saturn V | Skylab 1,StatusRetired,1160,Success,1973,1160
159,-80.6508,28.5721,NASA,Kennedy Space Center,Saturn V | Apollo 17,StatusRetired,1160,Success,1972,1160
160,-80.6508,28.5721,NASA,Kennedy Space Center,Saturn V | Apollo 16,StatusRetired,1160,Success,1972,1160
161,-80.6508,28.5721,NASA,Kennedy Space Center,Saturn V | Apollo 15,StatusRetired,1160,Success,1971,1160
162,-80.6508,28.5721,NASA,Kennedy Space Center,Saturn V | Apollo 14,StatusRetired,1160,Success,1971,1160
163,-80.6508,28.5721,NASA,Kennedy Space Center,Saturn V | Apollo 13,StatusRetired,1160,Success,1970,1160
164,-80.6508,28.5721,NASA,Kennedy Space Center,Saturn V | Apollo 12,StatusRetired,1160,Success,1969,1160
165,-80.6508,28.5721,NASA,Kennedy Space Center,Saturn V | Apollo 11,StatusRetired,1160,Success,1969,1160
166,-80.6508,28.5721,NASA,Kennedy Space Center,Saturn V | Apollo 10,StatusRetired,1160,Success,1969,1160
167,-80.6508,28.5721,NASA,Kennedy Space Center,Saturn V | Apollo 9,StatusRetired,1160,Success,1969,1160
169,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 5 | JCSAT-18 / Kacific-1,StatusActive,50,Success,2019,50
170,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 5 | CRS-19,StatusActive,50,Success,2019,50
171,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 5 | Starlink V1 L1,StatusActive,50,Success,2019,50
172,-80.5772,28.5623,Northrop,Cape Canaveral AFS,Pegasus XL | ICON,StatusActive,40,Success,2019,40
173,-80.5772,28.5623,ULA,Cape Canaveral AFS,"Delta IV Medium+ (4,2) | GPS III SV02",StatusRetired,164,Success,2019,164
174,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 551 | AEHF 5,StatusActive,153,Success,2019,153
175,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 5 | AMOS-17,StatusActive,50,Success,2019,50
176,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 5 | CRS-18,StatusActive,50,Success,2019,50
177,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 5 | Starlink V0.9,StatusActive,50,Success,2019,50
178,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 5 | CRS-17,StatusActive,50,Success,2019,50
180,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 5 | Nusantara Satu & Beresheet,StatusActive,50,Success,2019,50
181,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 5 | GPS III SV01,StatusActive,50,Success,2018,50
182,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 5 | CRS-16,StatusActive,50,Success,2018,50
183,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 551 | AEHF-4,StatusActive,153,Success,2018,153
184,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 5 | Telstar 18V / APStar 5C,StatusActive,50,Success,2018,50
185,-80.5772,28.5623,ULA,Cape Canaveral AFS,Delta IV Heavy | Parker Solar Probe,StatusActive,350,Success,2018,350
186,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 5 | Merah Putih (Telkom-4),StatusActive,50,Success,2018,50
187,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 5 | Telstar 19V,StatusActive,50,Success,2018,50
188,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 4 | CRS-15,StatusRetired,62,Success,2018,62
189,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 4 | SES-12,StatusRetired,62,Success,2018,62
190,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 4 | Transiting Exoplanet Survey Satellite (TESS),StatusRetired,62,Success,2018,62
191,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 551 | AFSPC-11,StatusActive,153,Success,2018,153
192,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 4 | CRS-14,StatusRetired,62,Success,2018,62
193,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 4 | Hispasat 30W-6,StatusRetired,62,Success,2018,62
194,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 541 | GOES-S (GOES-17),StatusActive,145,Success,2018,145
195,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 3 | GovSat-1 / SES-16,StatusRetired,62,Success,2018,62
196,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 411 | SBIRS GEO-4,StatusActive,115,Success,2018,115
197,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 4 | Zuma,StatusRetired,62,Success,2018,62
198,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 3 | CRS-13,StatusRetired,62,Success,2017,62
199,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 421 | NROL-52,StatusActive,123,Success,2017,123
200,-80.5772,28.5623,Northrop,Cape Canaveral AFS,Minotaur IV | ORS-5,StatusActive,46,Success,2017,46
201,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 401 | TDRS-M (TDRS-13),StatusActive,109,Success,2017,109
202,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 401 | CRS OA-7,StatusActive,109,Success,2017,109
204,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 401 | SBIRS GEO-3,StatusActive,109,Success,2017,109
205,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 431 | EchoStar 19,StatusActive,130,Success,2016,130
206,-80.5772,28.5623,Northrop,Cape Canaveral AFS,Pegasus XL | CYGNSS,StatusActive,40,Success,2016,40
208,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 541 | GOES-R (GOES-16),StatusActive,145,Success,2016,145
209,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 411 | OSIRIS-REx,StatusActive,115,Success,2016,115
210,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 3 | AMOS-6,StatusRetired,62,Prelaunch Failure,2016,62
211,-80.5772,28.5623,ULA,Cape Canaveral AFS,"Delta IV Medium+ (4,2) | AFSPC-6",StatusRetired,164,Success,2016,164
212,-80.5772,28.5623,SpaceX,Cape Canaveral AFS,Falcon 9 Block 3 | JCSAT-16,StatusRetired,62,Success,2016,62
213,-80.5772,28.5623,ULA,Cape Canaveral AFS,Atlas V 421 | NROL-61,StatusActive,123,Success,2016,123
